Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
170,34,0,136,1,Some Random Commen with Id 170
171,34,0,10,9,Some Random Commen with Id 171
172,34,0,85,4,Some Random Commen with Id 172
173,34,0,78,3,Some Random Commen with Id 173
174,35,2,132,4,Some Random Commen with Id 174
175,36,3,128,5,Some Random Commen with Id 175
176,36,3,14,8,Some Random Commen with Id 176
177,36,3,3,9,Some Random Commen with Id 177
178,36,3,25,1,Some Random Commen with Id 178
179,36,3,59,6,Some Random Commen with Id 179
180,36,3,56,3,Some Random Commen with Id 180
181,36,3,89,6,Some Random Commen with Id 181
182,36,3,104,0,Some Random Commen with Id 182
183,37,0,35,8,Some Random Commen with Id 183
184,37,0,3,2,Some Random Commen with Id 184
185,37,0,32,9,Some Random Commen with Id 185
186,37,0,52,0,Some Random Commen with Id 186
187,37,0,182,6,Some Random Commen with Id 187
188,38,3,165,0,Some Random Commen with Id 188
189,38,3,79,2,Some Random Commen with Id 189
190,38,3,145,4,Some Random Commen with Id 190
191,39,0,91,7,Some Random Commen with Id 191
192,39,0,166,9,Some Random Commen with Id 192
193,39,0,190,0,Some Random Commen with Id 193
194,39,0,119,2,Some Random Commen with Id 194
195,39,0,147,2,Some Random Commen with Id 195
